Sarcastic,non_sarcastic,,,
 best day of my life, worst day of my life,"
","
","
"
 best day of my life, worst day of my life,"
","
","
"
 best day of my life, i had a horrible day,"
","
","
"
 best day of my life, worst day of my life,"
","
","
"
 best day of my life, i have never had a day worse than this in my life,"
","
","
"
 conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?, conspiracy theory election announcement on the same day as the logies to make us all really confused after we already voted,"
","
","
"
 conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?, conspiracy theory election announcement on the same day as the logies to make us all really confused come on we haven't voted,"
","
","
"
 conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?, conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,"
","
","
"
 conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?, election announcement on the same day as the logies to make us all aware ? but we haven t voted,"
","
","
"
 conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?, conspiracy theory election announcement on the same day as the logies to make us all really confused what ? did we vote already ?,"
","
","
"
 love how a lot of ppl quit clash for agar io, hate how a lot of ppl quit clash for agar io,"
","
","
"
 love how a lot of ppl quit clash for agar io, hate how a lot of people quit clash for agar,"
","
","
"
 love how a lot of ppl quit clash for agar io, hate how a lot of ppl quit clash for agar,"
","
","
"
 love how a lot of ppl quit clash for agar io, hate how a lot of p ple quit clash for agar,"
","
","
"
 love how a lot of ppl quit clash for agar io, i don t appreciate that many people quit clash for agar,"
","
","
"
best day of my life!,worst day of my life!,"
","
","
"
best day of my life!,worst day of my life,"
","
","
"
best day of my life!,i had a bad day,"
","
","
"
best day of my life!,worst day of my life!,"
","
","
"
best day of my life!,i have never had a worse day than this,"
","
","
"
 with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over, with lyft and uber gone i guess everyone will have to go back to the transportation of last year the times of enjoyment has ended,"
","
","
"
 with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over, with lyft and uber gone i guess everyone will have to go back to yesteryears ' transportation life begins again,"
","
","
"
 with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over, now when lyft and uber are gone we will go back to the transporation of last year no problem,"
","
","
"
 with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over, with lyft and uber gone i guess everyone will opt for public transportation we are screwed,"
","
","
"
 with lyft and uber gone i guess everyone will have to go back to the transportation of last year life's over, it is not a bad thing that everyone will have to go back to the transportation of last year now that lyft and uber are gone,"
","
","
"
 did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?, did bartolo colon hit a hr tonight ? it was mentioned everywhere on twitter,"
","
","
"
 did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?, did bartolo colon go underground on hr tonight ? i didnt see it mentioned anywhere on twitter,"
","
","
"
 did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?, everybody is talking on twitter that bartolo colon hit a hr tonight,"
","
","
"
 did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?, bartolo colon hit a hr tonight it was all over twitter,"
","
","
"
 did bartolo colon hit a hr tonight ? i didnt see it mentioned anywhere on twitter ?, i do not expect to see anything mentioned on twitter about bartolo colon hitting a home run,"
","
","
"
 shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp, shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp,"
","
","
"
 shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp, big shame to everybody in lafayette and houma poppin they pussy downtown you are a real disgrace,"
","
","
"
 shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp, you are far from mvp,"
","
","
"
 shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp, everybody in lafayette and houma poppin is a disappoint you are the worst mvp,"
","
","
"
 shoutout to everybody in lafayette and houma poppin they pussy downtown you the real mvp, you are not the real mvp if you are in downtown lafayette and houma popping your pussy,"
","
","
"
 not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo, i am not as lucky as as everyone i never get the chance to spend summer on a big gray cruise ship,"
","
","
"
 not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo, not everyone is as unlucky as me i get to spend all summer on a big gray cruise ship wooooo,"
","
","
"
 not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo, i am not lucky at all,"
","
","
"
 not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo, my summer holidays suck i get to spend it all on a big grey cruise ship,"
","
","
"
 not everyone is as lucky as me i get to spend all summer on a big gray cruise ship wooooo, luck is not on my side i have to spend all summer on a big grey cruise ship,"
","
","
"
 just bullshitting around until i am doing great, just getting so serious until i am doing great,"
","
","
"
 just bullshitting around until i am doing great, just bullshitting around until i am become undignified,"
","
","
"
 just bullshitting around until i am doing great, i feel bed,"
","
","
"
 just bullshitting around until i am doing great, i am so bored,"
","
","
"
 just bullshitting around until i am doing great, just bullshitting around until i am doing great,"
","
","
"
 oh i've not realized that my father was the infallible god my whole life how amazing, oh i have realized that my father was the infallible god how amazing,"
","
","
"
 oh i've not realized that my father was the infallible god my whole life how amazing, oh lord i've not realized that my father was fallible my whole life how shocking,"
","
","
"
 oh i've not realized that my father was the infallible god my whole life how amazing, in my whole life i always felt that my father was the infallible god,"
","
","
"
 oh i've not realized that my father was the infallible god my whole life how amazing, i knew that my whole life depended on my father,"
","
","
"
 oh i've not realized that my father was the infallible god my whole life how amazing, it is not amazing how my father acts like the infallible god of my whole life,"
","
","
"
 really don't know what i'd do without you, truly i will do just fine without you,"
","
","
"
 really don't know what i'd do without you, wow at least i can work comfortably without you,"
","
","
"
 really don't know what i'd do without you, i'd feel better without you,"
","
","
"
 really don't know what i'd do without you, i can comfortably do without you,"
","
","
"
 really don't know what i'd do without you, i am doing great without you,"
","
","
"
 no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?, a lot of text a lot of whatsapp a many new mail in my mail box wen i got up in the morning what a world or am i so friendly ?,"
","
","
"
 no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?, no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?,"
","
","
"
 no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?, no text no watsapp no new mail in my mail box wen i got up in the morning it is interesting but pleasant,"
","
","
"
 no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?, how friendly am i that all my social accounts are full of new messages,"
","
","
"
 no text no watsapp no new mail in my mail box wen i got up in the morning what's happening to this world or am i unfriendly ?, not surprised that i have woken up to zero notifications on my phone i am not friendly,"
","
","
"
oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,oh no looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,"
","
","
"
oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,oh yay looks like australia is heading to the election booth early july here come 8 interesting weeks of campaigning,"
","
","
"
oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,oh my god it's horrible looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,"
","
","
"
oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,australia s 8 weeks of election campaign will be annoying,"
","
","
"
oh yay looks like australia is heading to the election booth early july here comes 8 annoying weeks of campaigning,what a bummer that australia will be heading to the election booth early july here comes 8 annoying weeks of campaigning,"
","
","
"
 yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins, yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight lose,"
","
","
"
 yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins, yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight loses,"
","
","
"
 yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins, yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight fails,"
","
","
"
 yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins, uber and lyft are underrated in a traffic nightmare urban sprawl city like austin government oversight loses,"
","
","
"
 yeah uber and lyft are overrated in a traffic nightmare urban sprawl city like austin government oversight wins, in a traffic nightmare urban sprawl city like austin uber and lyft are overrated the government's oversight is unfortunate,"
","
","
"
 embarrassing yourself to a well respected business owner is a great way to start networking, presenting yourself well to a well respected business owner is a great way to start networking,"
","
","
"
 embarrassing yourself to a well respected business owner is a great way to start networking, embarrassing yourself to a well respected business owner is a bad way to start networking,"
","
","
"
 embarrassing yourself to a well respected business owner is a great way to start networking, the worst way to start networking is to embarrassing yourself to a well respected business owne,"
","
","
"
 embarrassing yourself to a well respected business owner is a great way to start networking, embarrassing yourself to a wellrespected business owner is the worst way of introducing yourself,"
","
","
"
 embarrassing yourself to a well respected business owner is a great way to start networking, it is awful to start networking by embarrassing yourself to a well respected business owner,"
","
","
"
 hey maybe we can get back kei, hey we cant get back kei,"
","
","
"
 hey maybe we can get back kei, hey we'll never get back kei,"
","
","
"
 hey maybe we can get back kei, we cannot get kei back,"
","
","
"
 hey maybe we can get back kei, hey it would be great if you could get rid of kei,"
","
","
"
 hey maybe we can get back kei, hey lets not get kei back,"
","
","
"
nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,nothing beats watering 8000 sqft of new sod have better things to do with my time,"
","
","
"
nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,nothing worse than watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,"
","
","
"
nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,watering 8000 sqft of new sod is a horrible way to spend saturday night,"
","
","
"
nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,i don t have a choice but to water 8000 sqft of new sod on a saturday night,"
","
","
"
nothing beats watering 8000 sqft of new sod can't think of anything i'd rather be doing on a saturday night,there are a lot of things i would rather be doing on a saturday night than watering 8000 sqft of new sod it is the worst,"
","
","
"
 yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now, not interested in murray next game he's the only thing bringing us down,"
","
","
"
 yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now, yeah let's sit murray next game he's the only thing that makes us concede more goals,"
","
","
"
 yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now, if we sit murrey next game there will be noone else who will keep us from going down any more goals right now,"
","
","
"
 yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now, murray has been the greatest failure in this team he should be evicted,"
","
","
"
 yeah let's sit murray next game he's the only thing keeping us from going down any more goals right now, sitting murray next game will not stop us from going down any more goals right now,"
","
","
"
 wow these calls aren't one sided or anything fuck the refs fuck the caps, shit these calls are one sided fuck the refs fuck the caps,"
","
","
"
 wow these calls aren't one sided or anything fuck the refs fuck the caps, oh no these calls are onesided fuck the refs fuck the caps,"
","
","
"
 wow these calls aren't one sided or anything fuck the refs fuck the caps, wow these calls aren't one sided or anything the refs and the caps have nothing to do with them,"
","
","
"
 wow these calls aren't one sided or anything fuck the refs fuck the caps, these calls are one sided i am screwed,"
","
","
"
 wow these calls aren't one sided or anything fuck the refs fuck the caps, wow these calls are so one sided fuck the refs fuck the caps,"
","
","
"
 oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything, oh wow thanks for invite i totally did ask you to hang out this weekend,"
","
","
"
 oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything, i'm sorry to turn down the invite i wished you aren't hanging out this weekend,"
","
","
"
 oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything, oh wow thanks for the invite i was always asking you to hang out this weekend,"
","
","
"
 oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything, thanks for the invite but am definitely not interested,"
","
","
"
 oh wow thanks for invite i totally didn't ask you to hang out this weekend or anything, so you didn t send me an invite even after i asked you to hang out this weekend ?,"
","
","
"
s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle hurt's badly btw,"
","
","
"
s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,damn imgn the girl tripped me during 100 m hurdles amp didn't apologize my ankle feels sad btw,"
","
","
"
s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels awful,"
","
","
"
s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,my ankle hurts after being tripped by an ignorant girl during 100 m hurdles amp,"
","
","
"
s o to the girl that tripped me during 100 m hurdles amp didn't apologize my ankle feels great btw,to the girl who tripped me during 100 m hurdles and did not apologize my ankle really hurts,"
","
","
"
 hate fuelled insomnia is the best, hate fuelled insomnia is the worst,"
","
","
"
 hate fuelled insomnia is the best, hate fuelled insomnia is the worst,"
","
","
"
 hate fuelled insomnia is the best, hate fuelled insomnia is the worst,"
","
","
"
 hate fuelled insomnia is the best, hate fuelled insomnia is definitely the worst,"
","
","
"
 hate fuelled insomnia is the best, there is nothing as bad as hate fuelled insomnia,"
","
","
"
 another junior report i just love those things, another junior report i hate those things,"
","
","
"
 another junior report i just love those things, another junior report i just hate those things,"
","
","
"
 another junior report i just love those things, i hate junior reports,"
","
","
"
 another junior report i just love those things, i definitely hate things to do with junior reports,"
","
","
"
 another junior report i just love those things, here is another one of those junior reports that i hate so much,"
","
","
"
 chikfila is always so generous with their ketchup, chikfila is not generous with their ketchup,"
","
","
"
 chikfila is always so generous with their ketchup, chikfila is always so mean with their ketchup,"
","
","
"
 chikfila is always so generous with their ketchup, chikfila should give more ketchup,"
","
","
"
 chikfila is always so generous with their ketchup, chikfila is always unkind when it comes to sharing their ketchup,"
","
","
"
 chikfila is always so generous with their ketchup, they never give you enough ketchup at chikfila,"
","
","
"
 i was so excited to be done with finals but forgot how exciting saturday's are here, i was so excited to be done with finals but forgot how boring saturday's are here,"
","
","
"
 i was so excited to be done with finals but forgot how exciting saturday's are here, i was so excited to be done with finals but forgot how excruciating saturday's are here,"
","
","
"
 i was so excited to be done with finals but forgot how exciting saturday's are here, i was so excited to be done with finals but forgot how boring saturday's are here,"
","
","
"
 i was so excited to be done with finals but forgot how exciting saturday's are here, i was so excited to be done with finals but forgot how boring saturdays are over here,"
","
","
"
 i was so excited to be done with finals but forgot how exciting saturday's are here, i was so excited to be done with finals unfortunately saturdays are not exciting over here,"
","
","
"
 hey hi i'm here to look pretty and insult your intelligence insert something insulting to your intelligence and hairflip here, hey hi i'm here to look pretty and beat your imagination,"
","
","
"
